WKT,Analyser,Gns. mg/l,Min. mg/l,Maks. mg/l,Gns. topdybde,Min. topdybde,Maks. topdybde,Min. dato,Maks. dato,objectid,rgb,txt_search
"POLYGON ((590000 6395000,595000 6395000,595000 6400000,590000 6400000,590000 6395000))","     14","      3.0","      2.0","      6.0","     13.6","      9.0","     17.0",1962-05-02,2018-04-24,"       153834",0 255 0,
"POLYGON ((555000 6375000,560000 6375000,560000 6380000,555000 6380000,555000 6375000))","    244","     24.6","      2.0","    130.0","     23.3","      2.0","     59.5",1958-04-24,2020-09-22,"       100106",255 255 0,
"POLYGON ((545000 6365000,550000 6365000,550000 6370000,545000 6370000,545000 6365000))","     19","      9.3","      3.0","     34.0","     18.9","     13.0","     22.5",1978-03-03,2020-04-14,"       100312",0 255 0,
"POLYGON ((540000 6350000,545000 6350000,545000 6355000,540000 6355000,540000 6350000))","     21","     10.5","      2.2","     36.0","     33.1","     31.0","     37.0",1974-06-17,2021-01-15,"       100260",255 255 0,
"POLYGON ((560000 6350000,565000 6350000,565000 6355000,560000 6355000,560000 6350000))","      1","     32.0","     32.0","     32.0","     22.0","     22.0","     22.0",1977-02-07,1977-02-07,"       100309",255 125 0,
"POLYGON ((585000 6355000,590000 6355000,590000 6360000,585000 6360000,585000 6355000))","      2","      2.8","      2.1","      3.4","     49.3","     18.0","     80.5",2003-05-12,2008-04-01,"   2008009701",0 255 0,
"POLYGON ((615000 6345000,620000 6345000,620000 6350000,615000 6350000,615000 6345000))","     10","     63.7","     22.0","    124.0","      -.7","     -1.0","      2.0",1963-04-25,1963-04-27,"       100447",255 0 0,
"POLYGON ((505000 6325000,510000 6325000,510000 6330000,505000 6330000,505000 6325000))","     46","     41.1","     10.0","     94.0","     15.3","      5.0","     25.0",1972-10-02,2020-03-31,"       100941",255 125 0,
"POLYGON ((565000 6330000,570000 6330000,570000 6335000,565000 6335000,565000 6330000))","     41","     29.6","      2.5","    130.0","     21.2","      8.0","     41.0",1967-09-26,2020-12-21,"       101430",255 125 0,
"POLYGON ((570000 6325000,575000 6325000,575000 6330000,570000 6330000,570000 6325000))","      7","      6.7","      2.3","     13.0","     49.1","     21.0","     73.2",1976-07-13,2020-07-24,"       101398",0 255 0,
"POLYGON ((470000 6310000,475000 6310000,475000 6315000,470000 6315000,470000 6310000))","      3","     45.7","      2.0","     77.0","     23.8","     20.5","     28.0",1971-11-03,2012-10-09,"       101467",255 125 0,
"POLYGON ((490000 6300000,495000 6300000,495000 6305000,490000 6305000,490000 6300000))","      8","      3.0","      2.0","      4.2","     22.0","     21.0","     23.0",1986-01-20,2015-06-04,"   2015008483",0 255 0,
"POLYGON ((565000 6315000,570000 6315000,570000 6320000,565000 6320000,565000 6315000))","    102","     36.1","     19.0","     54.0","     32.5","     18.0","     50.0",1973-02-12,2020-02-21,"   2006026110",255 125 0,
"POLYGON ((510000 6295000,515000 6295000,515000 6300000,510000 6300000,510000 6295000))","      8","      3.9","      2.0","      5.1","     59.4","     32.0","    108.0",1977-01-20,2020-05-13,"       101772",0 255 0,
"POLYGON ((550000 6295000,555000 6295000,555000 6300000,550000 6300000,550000 6295000))","     44","     29.1","      3.3","     75.0","     51.5","       .5","     80.3",1927-09-19,2021-03-09,"       101870",255 125 0,
"POLYGON ((550000 6290000,555000 6290000,555000 6295000,550000 6295000,550000 6290000))","     23","     36.2","      4.9","     75.0","     61.3","      3.0","    100.0",1993-06-11,2017-08-31,"   1999011970",255 125 0,
"POLYGON ((575000 6290000,580000 6290000,580000 6295000,575000 6295000,575000 6290000))","      4","     23.0","      9.0","     37.0","     29.1","     17.0","     42.0",1972-10-17,1990-11-15,"       101875",255 255 0,
"POLYGON ((570000 6305000,575000 6305000,575000 6310000,570000 6310000,570000 6305000))","     39","     23.5","      9.0","     37.0","     35.8","     29.5","     42.0",1989-11-13,2019-07-09,"   2019013719",255 255 0,
"POLYGON ((540000 6290000,545000 6290000,545000 6295000,540000 6295000,540000 6290000))","     10","     34.8","      5.0","     60.0","     23.0","      1.6","     43.0",1961-05-05,1997-08-22,"       101785",255 125 0,
"POLYGON ((535000 6285000,540000 6285000,540000 6290000,535000 6290000,535000 6285000))","     17","     43.9","      9.0","     70.0","     34.8","     14.5","     79.5",1972-01-19,2018-12-05,"   2004047742",255 125 0,
"POLYGON ((545000 6285000,550000 6285000,550000 6290000,545000 6290000,545000 6285000))","      9","     50.4","      2.2","     97.0","     32.5","     21.0","     49.0",1976-09-02,2019-05-29,"       102062",255 0 0,
"POLYGON ((505000 6265000,510000 6265000,510000 6270000,505000 6270000,505000 6265000))","     23","     36.2","      3.0","     84.0","     11.4","     -2.0","     28.5",1959-03-13,2020-11-02,"       102298",255 125 0,
"POLYGON ((605000 6265000,610000 6265000,610000 6270000,605000 6270000,605000 6265000))","     18","     10.6","      2.0","     42.0","     60.1","     31.9","     78.5",1970-09-15,2017-09-18,"       102527",255 255 0,
"POLYGON ((460000 6250000,465000 6250000,465000 6255000,460000 6255000,460000 6250000))","      2","      4.7","      4.7","      4.7","     25.0","     25.0","     25.0",1977-07-06,1977-07-06,"   2006380292",0 255 0,
"POLYGON ((465000 6240000,470000 6240000,470000 6245000,465000 6245000,465000 6240000))","     15","     23.2","      5.6","     71.0","     20.9","     13.5","     40.0",1977-07-18,2020-10-14,"         2510",255 255 0,
"POLYGON ((520000 6245000,525000 6245000,525000 6250000,520000 6250000,520000 6245000))","     14","     36.1","      4.8","     83.0","     20.2","       .5","     54.0",1961-08-14,2008-04-24,"        15955",255 125 0,
"POLYGON ((545000 6245000,550000 6245000,550000 6250000,545000 6250000,545000 6245000))","     78","     33.3","      2.2","    120.0","     35.7","      5.0","    182.0",1956-01-01,2020-10-08,"         6446",255 125 0,
"POLYGON ((535000 6250000,540000 6250000,540000 6255000,535000 6255000,535000 6250000))","     27","     48.5","      2.5","    130.0","     29.2","     18.0","     42.5",1960-03-16,2017-05-24,"       103042",255 125 0,
"POLYGON ((530000 6250000,535000 6250000,535000 6255000,530000 6255000,530000 6250000))","      6","     17.8","      2.0","     47.0","     40.0","     35.0","     46.0",1992-06-10,2002-09-25,"   1995012424",255 255 0,
"POLYGON ((545000 6250000,550000 6250000,550000 6255000,545000 6255000,545000 6250000))","     34","     31.9","      2.0","    162.0","     26.2","      6.0","     61.0",1976-02-24,2021-02-18,"       103120",255 125 0,
"POLYGON ((555000 6245000,560000 6245000,560000 6250000,555000 6250000,555000 6245000))","     36","     30.4","      2.3","     87.0","     24.0","     -1.0","    115.0",1963-07-26,2013-10-09,"   1997008810",255 125 0,
"POLYGON ((585000 6255000,590000 6255000,590000 6260000,585000 6260000,585000 6255000))","     35","     17.1","      8.0","     36.7","     26.8","     14.0","     50.0",1972-03-21,2015-09-14,"       103267",255 255 0,
"POLYGON ((585000 6250000,590000 6250000,590000 6255000,585000 6255000,585000 6250000))","     23","     11.6","      2.0","     41.0","     27.2","      9.0","     58.0",1989-11-20,2020-03-23,"   1997009202",255 255 0,
"POLYGON ((465000 6225000,470000 6225000,470000 6230000,465000 6230000,465000 6225000))","    732","     31.0","      4.9","     47.0","      4.1","      2.0","     36.0",1980-07-31,2011-06-09,"       104467",255 125 0,
"POLYGON ((505000 6240000,510000 6240000,510000 6245000,505000 6245000,505000 6240000))","     38","     32.0","      6.2","     92.0","     12.3","      5.5","     27.0",1966-05-26,2016-04-27,"       102850",255 125 0,
"POLYGON ((525000 6235000,530000 6235000,530000 6240000,525000 6240000,525000 6235000))","      5","     14.1","      3.3","     43.0","     12.2","     -2.0","     17.0",1989-10-31,2013-05-30,"       255080",255 255 0,
"POLYGON ((510000 6230000,515000 6230000,515000 6235000,510000 6235000,510000 6230000))","     46","     27.3","      2.5","     79.0","      9.5","      3.0","     25.0",1967-08-21,1985-02-27,"       103747",255 125 0,
"POLYGON ((515000 6235000,520000 6235000,520000 6240000,515000 6240000,515000 6235000))","     11","     17.9","      5.3","     38.0","     16.4","      6.3","     23.0",1967-09-12,2002-09-25,"       103753",255 255 0,
